"Specimen thickness",1.5,"mm"
"Specimen width",4.89,"mm"
"Cross-section",7.335,"mm²"
"Gage length, standard travel",30,"mm"
"Extensometer",""
"Load cell",""
"Date/Clock time",44182.5,""
"Operator",""
"v1",1,"mm/min"
"v2",1,"mm/min"
"Time","Crosshead absolute","Standard travel","Standard force","Capteur de course"
"s","mm","mm","N","mm"
2.63805,1190.55,0,103.053,4.97961
2.64805,1190.56,0.00016852,106.046,4.97959
2.65805,1190.56,0.000333918,108.957,4.97958
2.66805,1190.56,0.000498418,111.681,4.97958
2.67805,1190.56,0.000657103,114.286,4.97957
2.68805,1190.56,0.000801816,116.702,4.97958
2.69805,1190.56,0.000925116,118.919,4.9796
2.70805,1190.56,0.00103184,120.911,4.97964
2.71805,1190.56,0.00112967,122.651,4.97969
2.72805,1190.56,0.00121131,124.158,4.97976
2.73805,1190.56,0.0012713,125.42,4.97984
2.74805,1190.56,0.00131111,126.495,4.97994
2.76805,1190.56,0.00136544,128.189,4.9802
2.78805,1190.56,0.00142291,129.477,4.98051
2.80805,1190.56,0.00148803,130.59,4.98085
2.82805,1190.56,0.00155147,131.706,4.98117
2.84805,1190.56,0.00161648,132.744,4.98148
2.86805,1190.56,0.00167855,133.784,4.98176
2.88805,1190.56,0.00171867,135.045,4.98202
2.90805,1190.56,0.00177987,136.773,4.98228
2.91805,1190.56,0.00183403,137.862,4.98241
2.92805,1190.56,0.00190941,139.148,4.98256
2.93805,1190.56,0.0020122,140.681,4.9827
2.94805,1190.56,0.00212883,142.469,4.98286
2.95805,1190.56,0.00224779,144.499,4.98301
2.96805,1190.56,0.0023849,146.729,4.98316
2.97805,1190.56,0.00253196,149.151,4.9833
2.98805,1190.56,0.00269658,151.683,4.98344
2.99805,1190.56,0.00286086,154.358,4.98356
3.00805,1190.56,0.00302271,157.153,4.98368
3.01805,1190.56,0.00318575,160.02,4.98378
3.02805,1190.56,0.0033493,162.978,4.98386
3.03805,1190.56,0.0035153,165.955,4.98392
3.04805,1190.56,0.00368688,168.966,4.98396
3.05805,1190.56,0.00384965,171.985,4.984
3.06805,1190.56,0.00401685,175.022,4.98402
3.07805,1190.56,0.00418301,178.062,4.98404
3.08805,1190.56,0.00434934,181.123,4.98404
3.09805,1190.56,0.00451556,184.208,4.98403
3.10805,1190.56,0.00468233,187.273,4.984
3.11805,1190.56,0.00485029,190.356,4.98396
3.12805,1190.56,0.00501679,193.424,4.98391
3.13805,1190.56,0.00518811,196.529,4.98385
3.14805,1190.56,0.00535536,199.632,4.98378
3.15805,1190.56,0.00551039,202.727,4.98371
3.16805,1190.56,0.00567498,205.845,4.98362
3.17805,1190.56,0.00584879,208.983,4.98354
3.18805,1190.56,0.00601533,212.134,4.98346
3.19805,1190.56,0.00617718,215.287,4.98339
3.20805,1190.56,0.00634344,218.449,4.98332
3.21805,1190.56,0.00651688,221.628,4.98328
3.22805,1190.56,0.00668676,224.831,4.98324
3.23805,1190.56,0.00685448,227.994,4.98321
3.24805,1190.56,0.00701983,231.147,4.98319
3.25805,1190.56,0.00718354,234.313,4.98317
3.26805,1190.56,0.00735211,237.495,4.98317
3.27805,1190.56,0.00752023,240.666,4.98316
3.28805,1190.56,0.0076845,243.861,4.98313
3.29805,1190.56,0.00784889,247.014,4.98307
3.30805,1190.56,0.00801792,250.181,4.98299
3.31805,1190.56,0.00818822,253.313,4.98291
3.32805,1190.56,0.00835028,256.442,4.98281
3.33805,1190.56,0.00851298,259.593,4.98272
3.34805,1190.56,0.00868273,262.772,4.98264
3.35805,1190.56,0.00884921,265.947,4.98257
3.36805,1190.56,0.00901409,269.092,4.98252
3.37805,1190.56,0.00917882,272.236,4.98248
3.38805,1190.56,0.00934801,275.365,4.98246
3.39805,1190.56,0.00951635,278.499,4.98247
3.40805,1190.56,0.00968149,281.635,4.98251
3.41805,1190.56,0.00985034,284.785,4.98256
3.42805,1190.56,0.0100144,287.921,4.98262
3.43805,1190.57,0.01018,291.044,4.98269
3.44805,1190.57,0.0103431,294.17,4.98276
3.45805,1190.57,0.0105127,297.289,4.98281
3.46805,1190.57,0.0106818,300.401,4.98285
3.47805,1190.57,0.0108471,303.521,4.98288
3.48805,1190.57,0.0110186,306.632,4.98289
3.49805,1190.57,0.0111851,309.757,4.98287
3.50805,1190.57,0.0113488,312.885,4.98284
3.51805,1190.57,0.011516,316.024,4.98279
3.52805,1190.57,0.011684,319.171,4.98271
3.53805,1190.57,0.0118471,322.321,4.98261
3.54805,1190.57,0.0120138,325.46,4.98251
3.55805,1190.57,0.0121836,328.609,4.9824
3.56805,1190.57,0.01235,331.786,4.98228
3.57805,1190.57,0.0125146,334.938,4.98216
3.58805,1190.57,0.0126806,338.109,4.98206
3.59805,1190.57,0.0128464,341.272,4.98198
3.60805,1190.57,0.0130179,344.436,4.98189
3.61805,1190.57,0.0131861,347.612,4.98182
3.62805,1190.57,0.013349,350.798,4.98176
3.63805,1190.57,0.0135159,353.975,4.98171
3.64805,1190.57,0.0136806,357.143,4.98167
3.65805,1190.57,0.0138544,360.338,4.98163
3.66805,1190.57,0.0140247,363.541,4.9816
3.67805,1190.57,0.0141849,366.761,4.98156
3.68805,1190.57,0.0143435,369.991,4.98152
3.69805,1190.57,0.0145165,373.235,4.98148
3.70805,1190.57,0.0146856,376.471,4.98143
3.71805,1190.57,0.0148558,379.728,4.98137
3.72805,1190.57,0.0150173,382.962,4.9813
3.73805,1190.57,0.0151811,386.22,4.98122
3.74805,1190.57,0.0153458,389.475,4.98114
3.75805,1190.57,0.0155176,392.724,4.98105
3.76805,1190.57,0.0156864,395.941,4.98094
3.77805,1190.57,0.0158495,399.182,4.98084
3.78805,1190.57,0.0160141,402.419,4.98071
3.79805,1190.57,0.0161812,405.694,4.98057
3.80805,1190.57,0.016343,408.977,4.98041
3.81805,1190.57,0.0165075,412.237,4.98023
3.82805,1190.57,0.01668,415.521,4.98004
3.83805,1190.57,0.0168497,418.802,4.97982
3.84805,1190.57,0.0170147,422.11,4.97959
3.85805,1190.57,0.0171837,425.418,4.97933
3.86805,1190.57,0.0173517,428.758,4.97908
3.87805,1190.57,0.0175156,432.069,4.97883
3.88805,1190.57,0.0176843,435.406,4.9786
3.89805,1190.57,0.0178503,438.72,4.9784
3.90805,1190.57,0.0180179,442.04,4.97823
3.91805,1190.57,0.0181833,445.352,4.97811
3.92805,1190.57,0.0183504,448.68,4.97803
3.93805,1190.57,0.0185189,452.043,4.978
3.94805,1190.57,0.0186835,455.415,4.97804
3.95805,1190.57,0.018846,458.762,4.97813
3.96805,1190.57,0.0190132,462.109,4.97826
3.97805,1190.57,0.0191867,465.514,4.97843
3.98805,1190.57,0.0193538,468.907,4.97862
3.99805,1190.57,0.0195157,472.288,4.97884
4.00805,1190.57,0.0196767,475.67,4.97907
4.01805,1190.57,0.0198472,479.073,4.97932
4.02805,1190.57,0.02002,482.498,4.97956
4.03805,1190.58,0.0201828,485.905,4.97979
4.04805,1190.58,0.0203435,489.298,4.98
4.05805,1190.58,0.0205091,492.693,4.98019
4.06805,1190.58,0.0206837,496.083,4.98036
4.07805,1190.58,0.0208588,499.457,4.98053
4.08805,1190.58,0.0210206,502.821,4.98068
4.09805,1190.58,0.0211807,506.211,4.98082
4.10805,1190.58,0.0213443,509.606,4.98095
4.11805,1190.58,0.0215167,512.955,4.98106
4.12805,1190.58,0.0216817,516.277,4.98116
4.13805,1190.58,0.0218488,519.622,4.98126
4.14805,1190.58,0.0220197,522.979,4.98134
4.15805,1190.58,0.0221818,526.35,4.9814
4.16805,1190.58,0.0223411,529.715,4.98144
4.17805,1190.58,0.0225152,533.082,4.98145
4.18805,1190.58,0.0226853,536.456,4.98143
4.19805,1190.58,0.0228536,539.835,4.98138
4.20805,1190.58,0.0230164,543.207,4.98128
4.21805,1190.58,0.0231805,546.612,4.98116
4.22805,1190.58,0.0233494,550.012,4.98101
4.23805,1190.58,0.0235182,553.358,4.98084
4.24805,1190.58,0.023684,556.715,4.98067
4.25805,1190.58,0.0238514,560.079,4.98051
4.26805,1190.58,0.0240185,563.468,4.98035
4.27805,1190.58,0.0241816,566.818,4.98019
4.28805,1190.58,0.0243425,570.158,4.98003
4.29805,1190.58,0.0245131,573.479,4.97988
4.30805,1190.58,0.0246864,576.826,4.97975
4.31805,1190.58,0.0248484,580.176,4.97962
4.32805,1190.58,0.0250132,583.534,4.97949
4.33805,1190.58,0.0251808,586.918,4.97934
4.34805,1190.58,0.0253495,590.312,4.97918
4.35805,1190.58,0.0255129,593.68,4.97899
4.36805,1190.58,0.0256811,597.052,4.97878
4.37805,1190.58,0.0258511,600.457,4.97856
4.38805,1190.58,0.026016,603.888,4.97832
4.39805,1190.58,0.0261801,607.324,4.97809
4.40805,1190.58,0.0263452,610.716,4.97786
4.41805,1190.58,0.0265145,614.133,4.97765
4.42805,1190.58,0.0266873,617.554,4.97745
4.43805,1190.58,0.0268527,620.967,4.97726
4.44805,1190.58,0.0270121,624.363,4.97709
4.45805,1190.58,0.0271793,627.779,4.97694
4.46805,1190.58,0.0273491,631.187,4.97681
4.47805,1190.58,0.0275227,634.6,4.9767
4.48805,1190.58,0.0276865,637.982,4.97659
4.49805,1190.58,0.0278456,641.355,4.9765
4.50805,1190.58,0.0280123,644.761,4.97641
4.51805,1190.58,0.0281863,648.141,4.97632
