"Specimen thickness",1.06,"mm"
"Specimen width",6.02,"mm"
"Cross-section",6.3812,"mm²"
"Gage length, standard travel",20,"mm"
"Extensometer",""
"Load cell",""
"Date/Clock time",43447.4,""
"Operator",""
"v1",1,"mm/min"
"v2",1,"mm/min"
"Time","Crosshead absolute","Standard force","Standard travel"
"s","mm","N","mm"
9.49405,-755.377,74.1155,0
9.66405,-755.377,75.1408,0
9.68405,-755.377,76.1734,0
9.70405,-755.376,77.6833,0
9.72405,-755.376,79.7344,0
9.73405,-755.376,80.9002,0
9.74405,-755.376,82.2415,0
9.75405,-755.375,83.7965,0
9.76405,-755.375,85.5246,0
9.77405,-755.375,87.375,0.00019
9.78405,-755.375,89.3017,0
9.79405,-755.375,91.2641,0.0002
9.80405,-755.375,93.212,0.0002
9.81405,-755.374,95.2024,0.0002
9.82405,-755.374,97.2291,0.0002
9.83405,-755.374,99.2753,0.0002
9.84405,-755.374,101.234,0.0002
9.85405,-755.374,103.055,0.0002
9.86405,-755.374,104.725,0.0002
9.87405,-755.373,106.304,0.0002
9.88405,-755.373,107.894,0.0002
9.89405,-755.373,109.476,0.00039
9.90405,-755.373,111.066,0.0004
9.91405,-755.373,112.64,0.0004
9.92405,-755.373,114.231,0.0004
9.93405,-755.372,115.815,0.0004
9.94405,-755.372,117.416,0.0004
9.95405,-755.372,119.025,0.00059
9.96405,-755.372,120.606,0.0006
9.97405,-755.372,122.222,0.0006
9.98405,-755.372,123.83,0.0006
9.99405,-755.371,125.425,0.0006
10.0041,-755.371,127.01,0.0006
10.0141,-755.371,128.617,0.0006
10.0241,-755.371,130.204,0.00079
10.0341,-755.371,131.809,0.0008
10.0441,-755.371,133.386,0.0008
10.0541,-755.37,134.98,0.0008
10.0641,-755.37,136.607,0.0008
10.0741,-755.37,138.197,0.0008
10.0841,-755.37,139.79,0.0008
10.0941,-755.37,141.377,0.00099
10.1041,-755.37,142.985,0.001
10.1141,-755.369,144.573,0.001
10.1241,-755.369,146.168,0.001
10.1341,-755.369,147.788,0.001
10.1441,-755.369,149.426,0.001
10.1541,-755.369,151.049,0.001
10.1641,-755.369,152.672,0.00119
10.1741,-755.368,154.313,0.0012
10.1841,-755.368,155.956,0.0012
10.1941,-755.368,157.626,0.0012
10.2041,-755.368,159.304,0.0012
10.2141,-755.368,160.993,0.0012
10.2241,-755.368,162.666,0.0012
10.2341,-755.367,164.296,0.0014
10.2441,-755.367,165.915,0.0014
10.2541,-755.367,167.554,0.0014
10.2641,-755.367,169.21,0.0014
10.2741,-755.367,170.86,0.0014
10.2841,-755.367,172.501,0.0014
10.2941,-755.366,174.128,0.0014
10.3041,-755.366,175.761,0.0016
10.3141,-755.366,177.368,0.0016
10.3241,-755.366,179.007,0.0016
10.3341,-755.366,180.637,0.0016
10.3441,-755.366,182.292,0.0016
10.3541,-755.365,183.924,0.0016
10.3641,-755.365,185.532,0.0016
10.3741,-755.365,187.136,0.0016
10.3841,-755.365,188.753,0.0018
10.3941,-755.365,190.367,0.0018
10.4041,-755.365,191.964,0.0018
10.4141,-755.364,193.579,0.0018
10.4241,-755.364,195.176,0.0018
10.4341,-755.364,196.798,0.0018
10.4441,-755.364,198.42,0.00181
10.4541,-755.364,200.029,0.002
10.4641,-755.364,201.649,0.002
10.4741,-755.363,203.287,0.002
10.4841,-755.363,204.914,0.002
10.4941,-755.363,206.552,0.002
10.5041,-755.363,208.146,0.002
10.5141,-755.363,209.781,0.002
10.5241,-755.363,211.416,0.002
10.5341,-755.362,213.044,0.0022
10.5441,-755.362,214.634,0.0022
10.5541,-755.362,216.286,0.0022
10.5641,-755.362,217.939,0.0022
10.5741,-755.362,219.575,0.0022
10.5841,-755.362,221.207,0.0022
10.5941,-755.361,222.841,0.0022
10.6041,-755.361,224.496,0.0024
10.6141,-755.361,226.084,0.0024
10.6241,-755.361,227.667,0.0024
10.6341,-755.361,229.251,0.0024
10.6441,-755.361,230.898,0.0024
10.6541,-755.36,232.501,0.0024
10.6641,-755.36,234.074,0.0024
10.6741,-755.36,235.672,0.0024
10.6841,-755.36,237.287,0.00259
10.6941,-755.36,238.872,0.0026
10.7041,-755.36,240.444,0.0026
10.7141,-755.359,242.009,0.0026
10.7241,-755.359,243.518,0.0026
10.7341,-755.359,244.945,0.0026
10.7441,-755.359,246.274,0.0026
10.7541,-755.359,247.54,0.0026
10.7641,-755.359,248.745,0.0028
10.7741,-755.358,249.815,0.0028
10.7941,-755.358,251.701,0.0028
10.8141,-755.358,253.343,0.0028
10.8341,-755.357,254.78,0.0028
10.8541,-755.357,256.083,0.0028
10.8741,-755.357,257.275,0.003
10.8941,-755.356,258.295,0.003
10.9241,-755.356,259.693,0.003
10.9541,-755.355,260.897,0.003
10.9841,-755.355,262.052,0.003
11.0141,-755.354,263.181,0.003
11.0441,-755.354,264.573,0.003
11.0641,-755.354,266.092,0.003
11.0841,-755.353,268.174,0.003
11.0941,-755.353,269.391,0.003
11.1041,-755.353,270.739,0.003
11.1141,-755.353,272.223,0.0032
11.1241,-755.353,273.822,0.0032
11.1341,-755.352,275.53,0.0032
11.1441,-755.352,277.25,0.0032
11.1541,-755.352,278.967,0.0032
11.1641,-755.352,280.629,0.0032
11.1741,-755.352,282.326,0.0032
11.1841,-755.352,283.99,0.0032
11.1941,-755.351,285.673,0.0034
11.2041,-755.351,287.439,0.0034
11.2141,-755.351,289.316,0.0034
11.2241,-755.351,291.316,0.0034
11.2341,-755.351,293.455,0.0034
11.2441,-755.351,295.732,0.0034
11.2541,-755.35,298.162,0.00341
11.2641,-755.35,300.76,0.0036
11.2741,-755.35,303.51,0.0036
11.2841,-755.35,306.456,0.0036
11.2941,-755.35,309.526,0.0036
11.3041,-755.35,312.683,0.0038
11.3141,-755.349,315.864,0.0038
11.3241,-755.349,319.086,0.0038
11.3341,-755.349,322.298,0.0038
11.3441,-755.349,325.523,0.004
11.3541,-755.349,328.757,0.004
11.3641,-755.349,332.002,0.004
11.3741,-755.348,335.23,0.004
11.3841,-755.348,338.432,0.0042
11.3941,-755.348,341.65,0.0042
11.4041,-755.348,344.861,0.0042
11.4141,-755.348,348.129,0.0042
11.4241,-755.348,351.357,0.0044
11.4341,-755.347,354.599,0.0044
11.4441,-755.347,357.846,0.0044
11.4541,-755.347,361.096,0.00459
11.4641,-755.347,364.382,0.0046
11.4741,-755.347,367.683,0.0046
11.4841,-755.347,370.974,0.0046
11.4941,-755.346,374.259,0.0048
11.5041,-755.346,377.556,0.0048
11.5141,-755.346,380.839,0.0048
11.5241,-755.346,384.193,0.0048
11.5341,-755.346,387.526,0.005
11.5441,-755.346,390.853,0.005
11.5541,-755.345,394.175,0.005
11.5641,-755.345,397.486,0.005
11.5741,-755.345,400.788,0.0052
11.5841,-755.345,404.116,0.0052
11.5941,-755.345,407.491,0.0052
11.6041,-755.345,410.859,0.0052
11.6141,-755.344,414.214,0.0054
11.6241,-755.344,417.532,0.0054
11.6341,-755.344,420.859,0.0054
11.6441,-755.344,424.211,0.00559
11.6541,-755.344,427.6,0.0056
11.6641,-755.344,430.966,0.0056
11.6741,-755.343,434.355,0.0056
11.6841,-755.343,437.755,0.0056
11.6941,-755.343,441.124,0.0058
11.7041,-755.343,444.493,0.0058
11.7141,-755.343,447.887,0.0058
11.7241,-755.343,451.268,0.00599
11.7341,-755.342,454.628,0.006
11.7441,-755.342,458.011,0.006
11.7541,-755.342,461.357,0.006
11.7641,-755.342,464.727,0.0062
11.7741,-755.342,468.052,0.0062
11.7841,-755.342,471.369,0.0062
11.7941,-755.341,474.718,0.0062
11.8041,-755.341,478.067,0.0064
11.8141,-755.341,481.401,0.0064
11.8241,-755.341,484.727,0.0064
11.8341,-755.341,488.093,0.0066
11.8441,-755.341,491.415,0.0066
11.8541,-755.34,494.748,0.0066
11.8641,-755.34,498.064,0.0066
11.8741,-755.34,501.417,0.0068
11.8841,-755.34,504.762,0.0068
11.8941,-755.34,508.074,0.0068
11.9041,-755.34,511.395,0.00699
11.9141,-755.339,514.707,0.007
11.9241,-755.339,518.034,0.007
11.9341,-755.339,521.342,0.007
11.9441,-755.339,524.669,0.0072
11.9541,-755.339,528.011,0.0072
11.9641,-755.339,531.36,0.0072
11.9741,-755.338,534.667,0.0072
11.9841,-755.338,537.999,0.0074
11.9941,-755.338,541.327,0.0074
12.0041,-755.338,544.622,0.0074
12.0141,-755.338,547.92,0.0074
12.0241,-755.338,551.231,0.0076
12.0341,-755.337,554.552,0.0076
12.0441,-755.337,557.855,0.0076
12.0541,-755.337,561.133,0.0076
12.0641,-755.337,564.412,0.00779
12.0741,-755.337,567.721,0.0078
12.0841,-755.337,570.995,0.0078
12.0941,-755.336,574.291,0.0078
12.1041,-755.336,577.619,0.008
12.1141,-755.336,580.938,0.008
12.1241,-755.336,584.255,0.008
12.1341,-755.336,587.57,0.008
12.1441,-755.336,590.892,0.0082
12.1541,-755.335,594.218,0.0082
12.1641,-755.335,597.53,0.0082
12.1741,-755.335,600.831,0.00839
12.1841,-755.335,604.139,0.0084
12.1941,-755.335,607.437,0.0084
12.2041,-755.335,610.735,0.0084
12.2141,-755.334,614.02,0.0084
12.2241,-755.334,617.307,0.0086
12.2341,-755.334,620.606,0.0086
12.2441,-755.334,623.91,0.0086
12.2541,-755.334,627.206,0.00879
12.2641,-755.334,630.521,0.0088
12.2741,-755.333,633.838,0.0088
12.2841,-755.333,637.16,0.0088
12.2941,-755.333,640.466,0.0088
12.3041,-755.333,643.794,0.009
12.3141,-755.333,647.128,0.009
12.3241,-755.333,650.478,0.009
12.3341,-755.332,653.838,0.009
12.3441,-755.332,657.202,0.0092
12.3541,-755.332,660.547,0.0092
12.3641,-755.332,663.895,0.0092
12.3741,-755.332,667.254,0.0092
12.3841,-755.332,670.606,0.0094
12.3941,-755.331,674,0.0094
12.4041,-755.331,677.381,0.0094
12.4141,-755.331,680.739,0.0096
12.4241,-755.331,684.116,0.0096
12.4341,-755.331,687.48,0.0096
12.4441,-755.331,690.85,0.0096
12.4541,-755.33,694.235,0.0096
12.4641,-755.33,697.589,0.0096
12.4741,-755.33,700.969,0.0098
12.4841,-755.33,704.373,0.0098
12.4941,-755.33,707.745,0.0098
12.5041,-755.33,711.107,0.0098
12.5141,-755.329,714.495,0.01
12.5241,-755.329,717.867,0.01
12.5341,-755.329,721.207,0.01
12.5441,-755.329,724.555,0.0102
12.5541,-755.329,727.912,0.0102
12.5641,-755.329,731.298,0.0102
12.5741,-755.328,734.653,0.0102
12.5841,-755.328,738.021,0.01021
12.5941,-755.328,741.357,0.0104
12.6041,-755.328,744.677,0.0104
12.6141,-755.328,748.001,0.0104
12.6241,-755.328,751.323,0.0104
12.6341,-755.327,754.69,0.0104
12.6441,-755.327,758.029,0.0106
12.6541,-755.327,761.361,0.0106
12.6641,-755.327,764.696,0.0106
12.6741,-755.327,768.012,0.0108
12.6841,-755.327,771.293,0.0108
12.6941,-755.326,774.56,0.0108
12.7041,-755.326,777.833,0.0108
12.7141,-755.326,781.134,0.011
12.7241,-755.326,784.418,0.011
12.7341,-755.326,787.701,0.011
12.7441,-755.326,791,0.011
12.7541,-755.325,794.291,0.0112
12.7641,-755.325,797.567,0.0112
12.7741,-755.325,800.866,0.0112
12.7841,-755.325,804.156,0.0114
12.7941,-755.325,807.508,0.0114
12.8041,-755.325,810.868,0.0114
12.8141,-755.324,814.19,0.0114
12.8241,-755.324,817.529,0.0114
12.8341,-755.324,820.839,0.0114
12.8441,-755.324,824.14,0.0116
12.8541,-755.324,827.423,0.0116
12.8641,-755.324,830.72,0.0116
12.8741,-755.323,834.012,0.0116
12.8841,-755.323,837.289,0.0118
12.8941,-755.323,840.544,0.0118
12.9041,-755.323,843.816,0.0118
12.9141,-755.323,847.086,0.012
12.9241,-755.323,850.363,0.012
12.9341,-755.322,853.631,0.012
12.9441,-755.322,856.894,0.012
12.9541,-755.322,860.193,0.0122
12.9641,-755.322,863.473,0.0122
12.9741,-755.322,866.756,0.0122
12.9841,-755.322,870.056,0.01239
12.9941,-755.321,873.377,0.0124
13.0041,-755.321,876.671,0.0124
13.0141,-755.321,879.966,0.0124
13.0241,-755.321,883.237,0.0124
13.0341,-755.321,886.547,0.0124
13.0441,-755.321,889.849,0.0126
13.0541,-755.32,893.157,0.0126
13.0641,-755.32,896.483,0.0126
13.0741,-755.32,899.778,0.01279
13.0841,-755.32,903.112,0.0128
13.0941,-755.32,906.435,0.0128
13.1041,-755.32,909.761,0.0128
13.1141,-755.319,913.117,0.013
13.1241,-755.319,916.457,0.013
13.1341,-755.319,919.782,0.013
13.1441,-755.319,923.139,0.013
13.1541,-755.319,926.475,0.0132
13.1641,-755.319,929.812,0.0132
13.1741,-755.318,933.175,0.0132
13.1841,-755.318,936.521,0.0132
13.1941,-755.318,939.848,0.0134
13.2041,-755.318,943.202,0.0134
13.2141,-755.318,946.539,0.0134
13.2241,-755.318,949.911,0.0134
13.2341,-755.317,953.278,0.01359
13.2441,-755.317,956.611,0.0136
13.2541,-755.317,959.952,0.0136
13.2641,-755.317,963.277,0.0136
13.2741,-755.317,966.623,0.0136
13.2841,-755.317,969.96,0.0138
13.2941,-755.316,973.302,0.0138
13.3041,-755.316,976.666,0.0138
13.3141,-755.316,980.023,0.0138
13.3241,-755.316,983.374,0.014
13.3341,-755.316,986.696,0.014
13.3441,-755.316,990.055,0.014
